"nsub" "block_1" "SR_volumen" "SR_width" "SR_depth" "SR_height" "SV_volumen" "SV_depth" "SV_width" "SV_height" "distanca_max"
1 "Sala Grande" 201.6 6 12 2.8 140 10 5 2.8 2.5
2 "Sala Chica" 288 6 12 4 216 8 6 4.5 1.3
3 "Sala Grande" 120 4 10 3 200 10 5 4 1.5
4 "Sala Chica" 1500 15 25 4 1125 15 15 5 12
6 "Sala Chica" 78 4 6.5 3 30 5 2 3 5
7 "Sala Grande" 112 4 8 3.5 84 7 4 3 3.2
8 "Sala Chica" 180 5 9 4 210.7 7 7 4.3 9
9 "Sala Grande" 245 7 7 5 280 8 7 5 7.5
10 "Sala Chica" 308 8 11 3.5 400 8 10 5 4.5
11 "Sala Grande" 126 4.5 8 3.5 140 8 5 3.5 5.5
12 "Sala Grande" 72 3 8 3 250 10 10 2.5 2
13 "Sala Chica" 140 5 7 4 120 6 5 4 4
14 "Sala Grande" 52.5 3.5 5 3 60 6 4 2.5 5
15 "Sala Chica" 337.5 5 15 4.5 60 3 5 4 1.6
16 "Sala Grande" 95.625 4.5 8.5 2.5 78.75 7 4.5 2.5 4
17 "Sala Chica" 45 3 6 2.5 12.6 2 3 2.1 2.5
18 "Sala Grande" 150 5 10 3 1500 15 20 5 4
19 "Sala Chica" 180 5 12 3 87.5 7 5 2.5 2
20 "Sala Grande" 1200 20 15 4 2000 8 25 10 2
21 "Sala Chica" 45 3 5 3 20.7 3 3 2.3 6
23 "Sala Chica" 390 10 13 3 255 10 8.5 3 10
24 "Sala Grande" 45 3 6 2.5 30 4 3 2.5 3
25 "Sala Chica" 360 6 15 4 96 6 4 4 5.5
26 "Sala Grande" 55 4 5 2.75 33.75 4.5 3 2.5 3
27 "Sala Chica" 98 5 7 2.8 98 7 5 2.8 5
29 "Sala Chica" 120 4 10 3 96 8 4 3 4.5
30 "Sala Grande" 48 4 4 3 49 4 3.5 3.5 4
31 "Sala Chica" 120 5 6 4 192 8 6 4 2
32 "Sala Grande" 144 6 8 3 180 10 6 3 6
33 "Sala Chica" 150 5 10 3 60 5 4 3 15
34 "Sala Grande" 60 4 6 2.5 180 10 6 3 9
35 "Sala Chica" 121.5 4.5 9 3 70 5 3.5 4 6
36 "Sala Grande" 1000 10 25 4 5400 60 18 5 3
37 "Sala Chica" 165 6 11 2.5 87.5 5 7 2.5 10
39 "Sala Chica" 135 6 9 2.5 135 9 6 2.5 5
40 "Sala Grande" 180 6 10 3 162 9 6 3 5
41 "Sala Chica" 60 4 5 3 15 2 3 2.5 2.5
42 "Sala Grande" 31.25 2.5 5 2.5 20 4 2 2.5 3
43 "Sala Chica" 15 2.5 3 2 2 2 1 1 0.8
44 "Sala Grande" 400 10 10 4 500 10 10 5 4.5
45 "Sala Chica" 29716 34 38 23 4050 15 15 18 7
46 "Sala Grande" 96 4 6 4 84 6 4 3.5 5
47 "Sala Chica" 2000 10 20 10 300 6 10 5 12
48 "Sala Grande" 27 4.5 3 2 27 3 4.5 2 1.5
49 "Sala Chica" 11.25 2.5 3 1.5 7.5 2 2.5 1.5 2
50 "Sala Grande" 72 4 6 3 54 6 3 3 5
